race_id,race_date,race_no,race_type,category,profile,horse_count,status,ideal_weight_json
225065,17.05.2026,5,Handikap 14/DHÖW /H2,HANDIKAP,HANDIKAP14,13,ok,"{""bounce_score"": 3.754, ""degree_stability"": 6.703, ""degree_trend"": 9.755, ""distance_suit"": 43.063, ""form_trend"": 19.177, ""hp_score"": 6.623, ""jockey_score"": 2.617, ""pace_score"": 6.435, ""training_fitness"": 1.872}"
225058,17.05.2026,6,G 1/Erkek,GRUP,GRUP,11,ok,"{""degree_avg"": 13.719, ""degree_stability"": 4.533, ""distance_suit"": 18.574, ""form_trend"": 2.097, ""hp_score"": 49.068, ""training_fitness"": 7.968, ""weight_impact"": 4.041}"
225064,17.05.2026,7,KV-6/DHÖW,KV,KV,7,ok,"{""bounce_score"": 5.72, ""degree_avg"": 55.024, ""form_trend"": 12.564, ""hp_score"": 8.866, ""jockey_score"": 17.827}"
225061,17.05.2026,8,KV-8/Dişi,KV,KV,9,ok,"{""degree_stability"": 14.246, ""degree_trend"": 14.91, ""distance_suit"": 6.707, ""form_trend"": 8.075, ""hp_score"": 35.599, ""pace_score"": 4.532, ""training_fitness"": 7.365, ""weight_impact"": 8.566}"
225059,17.05.2026,9,G 1/Dişi,GRUP,GRUP,12,ok,"{""bounce_score"": 2.701, ""degree_stability"": 19.607, ""distance_suit"": 17.136, ""form_trend"": 15.72, ""hp_score"": 38.062, ""training_degree_score"": 0.66, ""weight_impact"": 6.114}"
225078,18.05.2026,1,Maiden/DHÖW,MAIDEN,MAIDEN,10,ok,"{""bounce_score"": 16.31, ""degree_avg"": 7.561, ""degree_stability"": 10.018, ""distance_suit"": 25.806, ""form_trend"": 0.689, ""hp_score"": 33.672, ""pace_score"": 0.0, ""weight_impact"": 5.944}"
225090,18.05.2026,2,ŞARTLI 5/DHÖW,SARTLI,SART5,10,ok,"{""bounce_score"": 9.529, ""degree_avg"": 9.001, ""degree_stability"": 6.197, ""distance_suit"": 3.138, ""form_trend"": 2.923, ""hp_score"": 24.08, ""pace_score"": 2.552, ""training_degree_score"": 16.767, ""training_fitness"": 21.926, ""weight_impact"": 3.886}"
225079,18.05.2026,3,Maiden/DHÖW,MAIDEN,MAIDEN,11,ok,"{""degree_stability"": 12.779, ""distance_suit"": 53.415, ""form_trend"": 9.15, ""training_degree_score"": 21.206, ""training_fitness"": 3.45}"
225087,18.05.2026,4,ŞARTLI 3,SARTLI,SART3,15,ok,"{""degree_stability"": 52.179, ""degree_trend"": 3.549, ""training_degree_score"": 28.176, ""training_fitness"": 16.096}"
225089,18.05.2026,5,Handikap 15/DHÖW /H2,HANDIKAP,HANDIKAP15|Cim,19,ok,"{""bounce_score"": 4.346, ""degree_stability"": 44.524, ""degree_trend"": 5.176, ""distance_suit"": 6.689, ""form_trend"": 10.151, ""hp_score"": 9.809, ""pace_score"": 4.862, ""training_degree_score"": 8.673, ""training_fitness"": 5.77}"
225086,18.05.2026,6,KV-6/Dişi,KV,KV,11,ok,"{""bounce_score"": 0.411, ""degree_avg"": 30.018, ""distance_suit"": 21.586, ""hp_score"": 35.777, ""jockey_score"": 9.283, ""training_fitness"": 2.924}"
225085,18.05.2026,7,KV-7,KV,KV,6,ok,"{""degree_avg"": 12.792, ""degree_trend"": 5.979, ""distance_suit"": 30.63, ""form_trend"": 6.044, ""hp_score"": 8.198, ""jockey_score"": 19.999, ""pace_score"": 6.102, ""training_degree_score"": 2.713, ""training_fitness"": 4.163, ""weight_impact"": 3.381}"
225077,18.05.2026,8,Maiden/DHÖW,MAIDEN,MAIDEN,12,ok,"{""bounce_score"": 19.075, ""degree_avg"": 58.699, ""distance_suit"": 5.934, ""form_trend"": 11.911, ""pace_score"": 1.413, ""weight_impact"": 2.967}"
225088,18.05.2026,9,ŞARTLI 19/DHÖW,SARTLI,SARTLI,20,ok,"{""degree_avg"": 25.664, ""degree_stability"": 24.217, ""distance_suit"": 4.128, ""form_trend"": 2.025, ""hp_score"": 19.21, ""jockey_score"": 0.493, ""training_fitness"": 21.1, ""weight_impact"": 3.163}"
225093,19.05.2026,1,Maiden/DHÖW,MAIDEN,MAIDEN,10,ok,"{""degree_avg"": 29.782, ""distance_suit"": 34.247, ""form_trend"": 17.049, ""hp_score"": 2.063, ""pace_score"": 11.14, ""training_fitness"": 5.306, ""weight_impact"": 0.413}"
225097,19.05.2026,1,SATIŞ 3,SATIS,SATIS,9,ok,"{""bounce_score"": 10.969, ""degree_avg"": 13.29, ""degree_trend"": 10.657, ""distance_suit"": 9.405, ""form_trend"": 1.599, ""hp_score"": 35.864, ""jockey_score"": 2.944, ""pace_score"": 6.369, ""training_fitness"": 2.378, ""weight_impact"": 6.525}"
225092,19.05.2026,2,ŞARTLI 1,SARTLI,SART1,5,insufficient_signal,{}
225105,19.05.2026,2,Handikap 16 /H2,HANDIKAP,HANDIKAP16|Kum,7,ok,"{""degree_avg"": 29.113, ""degree_stability"": 29.154, ""form_trend"": 6.53, ""hp_score"": 14.923, ""pace_score"": 3.139, ""training_degree_score"": 2.47, ""training_fitness"": 14.671}"
225091,19.05.2026,3,ŞARTLI 1,SARTLI,SART1,4,insufficient_signal,{}
225095,19.05.2026,3,Maiden/DHÖW,MAIDEN,MAIDEN,10,ok,"{""degree_avg"": 55.397, ""degree_stability"": 3.598, ""degree_trend"": 18.024, ""distance_suit"": 16.542, ""jockey_score"": 1.772, ""pace_score"": 0.0, ""training_fitness"": 1.182, ""weight_impact"": 3.486}"
225098,19.05.2026,4,Handikap 16 /H1,HANDIKAP,HANDIKAP16|Cim,11,ok,"{""bounce_score"": 33.55, ""degree_avg"": 24.807, ""form_trend"": 1.652, ""pace_score"": 7.511, ""training_degree_score"": 0.361, ""training_fitness"": 0.841, ""weight_impact"": 31.277}"
225106,19.05.2026,4,ŞARTLI 5,SARTLI,SART5,9,ok,"{""bounce_score"": 15.159, ""degree_avg"": 50.582, ""degree_stability"": 13.627, ""distance_suit"": 12.43, ""form_trend"": 2.138, ""training_fitness"": 6.064}"
225100,19.05.2026,5,Handikap 15/DHÖW /H2,HANDIKAP,HANDIKAP15|Cim,11,ok,"{""degree_avg"": 37.249, ""distance_suit"": 10.083, ""form_trend"": 19.985, ""hp_score"": 19.985, ""jockey_score"": 12.7}"
225109,19.05.2026,5,Handikap 15 /H2,HANDIKAP,HANDIKAP15|Kum,11,ok,"{""bounce_score"": 20.699, ""degree_avg"": 8.369, ""degree_stability"": 0.269, ""degree_trend"": 5.523, ""distance_suit"": 19.12, ""form_trend"": 26.397, ""hp_score"": 9.389, ""pace_score"": 8.962, ""weight_impact"": 1.272}"
225096,19.05.2026,6,KV-6/Dişi,KV,KV,12,ok,"{""bounce_score"": 19.682, ""distance_suit"": 19.358, ""form_trend"": 8.051, ""hp_score"": 21.58, ""jockey_score"": 13.874, ""pace_score"": 7.28, ""training_fitness"": 10.175}"
225104,19.05.2026,6,KV-8,KV,KV,5,ok,"{""bounce_score"": 13.248, ""degree_stability"": 7.905, ""degree_trend"": 12.365, ""distance_suit"": 5.078, ""form_trend"": 12.067, ""hp_score"": 25.381, ""jockey_score"": 9.274, ""pace_score"": 3.312, ""training_degree_score"": 4.88, ""training_fitness"": 6.491}"
225094,19.05.2026,7,Maiden/DHÖW,MAIDEN,MAIDEN,9,ok,"{""degree_avg"": 7.551, ""distance_suit"": 47.736, ""form_trend"": 11.365, ""hp_score"": 22.306, ""jockey_score"": 1.004, ""pace_score"": 7.807, ""training_fitness"": 2.231}"
225099,19.05.2026,7,ŞARTLI 4/DHÖW,SARTLI,SART4,8,ok,"{""bounce_score"": 6.479, ""degree_avg"": 16.84, ""degree_stability"": 11.213, ""distance_suit"": 23.844, ""form_trend"": 4.918, ""hp_score"": 27.537, ""jockey_score"": 6.577, ""training_fitness"": 2.592}"
225101,19.05.2026,8,ŞARTLI 4/DHÖW,SARTLI,SART4,10,ok,"{""bounce_score"": 8.532, ""form_trend"": 13.25, ""jockey_score"": 22.566, ""pace_score"": 4.517, ""training_degree_score"": 48.986, ""training_fitness"": 2.148}"
225108,19.05.2026,8,ŞARTLI 5/DHÖW,SARTLI,SART5,12,ok,"{""degree_stability"": 9.461, ""degree_trend"": 10.738, ""form_trend"": 3.364, ""hp_score"": 30.411, ""training_degree_score"": 23.937, ""training_fitness"": 8.864, ""weight_impact"": 13.225}"
225103,19.05.2026,9,Handikap 17/DHÖW /H1,HANDIKAP,HANDIKAP,12,ok,"{""bounce_score"": 21.994, ""degree_stability"": 25.866, ""distance_suit"": 1.218, ""form_trend"": 11.372, ""jockey_score"": 9.272, ""pace_score"": 5.175, ""training_degree_score"": 20.575, ""training_fitness"": 4.528}"
